order_id,email_text,Total_Bill
1,"To the sales department, We would like to order 119 office chairs. The agreed price is 953.17 dollars per unit. We are eligible for the 9 percent bulk discount. Please include the 159.86 dollar delivery fee. Best, Purchasing Dept.",103378.64
2,"Hi team, Need 143 standing desks at $2348.42 each. Apply our standard 10% discount, and add $63.56 for expedited shipping. Best, Purchasing Dept.",302305.21
3,"Good morning, We would like to order 141 monitors. The agreed price is 457.18 dollars per unit. We are eligible for the 14 percent bulk discount. Please include the 497.61 dollar delivery fee. Regards.",55935.26
4,"Hello, We would like to order 97 projectors. The agreed price is 872.1 dollars per unit. We are eligible for the 21 percent bulk discount. Please include the 65.84 dollar delivery fee. Regards.",66894.86
5,"To the sales department, Need 101 whiteboards at $983.21 each. Apply our standard 23% discount, and add $241.23 for expedited shipping. Thanks, Procurement",76705.47
6,"Order request: 30 units of office chairs. Price: $1298.95/unit. Approved discount: 8%. Shipping cost: $436.22. Thanks, Procurement",36287.24
7,"Hello, Please process an invoice for 72 office chairs. Unit cost is 2393.73. Discount rate is 17%. Freight is a flat 379.75. Best, Purchasing Dept.",143429.05
8,"Order request: 100 units of standing desks. Price: $1545.44/unit. Approved discount: 17%. Shipping cost: $405.66. Thanks, Procurement",128677.18
9,Order request: 15 units of laptops. Price: $711.71/unit. Approved discount: 13%. Shipping cost: $288.58. Regards.,9576.4
10,"Good morning, Need 117 monitors at $432.23 each. Apply our standard 16% discount, and add $55.84 for expedited shipping. Ship ASAP.",42535.4
11,"Hello, Need 123 standing desks at $1237.58 each. Apply our standard 12% discount, and add $217.85 for expedited shipping. Ship ASAP.",134173.51
12,"Good morning, Need 40 laptops at $212.53 each. Apply our standard 25% discount, and add $473.26 for expedited shipping. Best, Purchasing Dept.",6849.16
13,"Hello, Need 120 laptops at $438.89 each. Apply our standard 15% discount, and add $254.76 for expedited shipping. Best, Purchasing Dept.",45021.54
14,"Good morning, Need 102 monitors at $2087.62 each. Apply our standard 3% discount, and add $255.1 for expedited shipping. Best, Purchasing Dept.",206804.22
15,"Order request: 13 units of projectors. Price: $2304.47/unit. Approved discount: 7%. Shipping cost: $215.98. Thanks, Procurement",28077.02
16,Order request: 71 units of monitors. Price: $1256.68/unit. Approved discount: 7%. Shipping cost: $229.63. Ship ASAP.,83208.21
17,"Good morning, We would like to order 70 laptops. The agreed price is 1113.14 dollars per unit. We are eligible for the 19 percent bulk discount. Please include the 414.29 dollar delivery fee. Best, Purchasing Dept.",63529.33
18,"Hello, Please process an invoice for 51 projectors. Unit cost is 143.82. Discount rate is 1%. Freight is a flat 240.2. Best, Purchasing Dept.",7501.67
